18:06:37.991875 mmap(0x7f4f14057000, 4096, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x4000) = 0x7f4f14057000
18:06:37.991929 mmap(0x7f4f14058000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x4000) = 0x7f4f14058000
18:06:38.321960 mmap(NULL, 87528, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 27, 0) = 0x7f4f0644c000
18:06:38.322251 mmap(0x7f4f06451000, 45056, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x5000) = 0x7f4f06451000
18:06:38.322346 mmap(0x7f4f0645c000, 12288, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x10000) = 0x7f4f0645c000
18:06:38.322402 mmap(0x7f4f06460000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x13000) = 0x7f4f06460000
18:06:38.324297 mmap(NULL, 74070, PROT_READ, MAP_PRIVATE, 27, 0) = 0x7f4f06439000
18:06:38.340770 mmap(NULL, 16616, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 27, 0) = 0x7f4f1404e000
18:06:38.340879 mmap(0x7f4f1404f000, 4096, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x1000) = 0x7f4f1404f000
18:06:38.340949 mmap(0x7f4f14050000, 4096, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x2000) = 0x7f4f14050000
18:06:38.341004 mmap(0x7f4f14051000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x2000) = 0x7f4f14051000
18:06:39.045190 mmap(NULL, 36864, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS|MAP_STACK, -1, 0) = 0x7f4f14005000
18:06:39.087415 --- SIGCHLD {si_signo=SIGCHLD, si_code=CLD_EXITED, si_pid=5760, si_uid=1000, si_status=0, si_utime=0, si_stime=0} ---
18:06:39.114946 mmap(NULL, 389764, PROT_READ, MAP_SHARED, 27, 0) = 0x7f4f04487000
18:06:39.227509 mmap(NULL, 235888, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 27, 0) = 0x7f4f06412000
18:06:39.227689 mmap(0x7f4f0641c000, 131072, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0xa000) = 0x7f4f0641c000
18:06:39.227771 mmap(0x7f4f0643c000, 49152, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x2a000) = 0x7f4f0643c000
18:06:39.227827 mmap(0x7f4f06448000, 16384, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x35000) = 0x7f4f06448000
18:06:39.229167 mmap(NULL, 74070, PROT_READ, MAP_PRIVATE, 27, 0) = 0x7f4f063ff000
18:06:39.234281 mmap(NULL, 235264, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 27, 0) = 0x7f4f0444d000
18:06:39.234389 mmap(0x7f4f04459000, 122880, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0xc000) = 0x7f4f04459000
18:06:39.234462 mmap(0x7f4f04477000, 57344, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x2a000) = 0x7f4f04477000
